issue_id,account_id,account_name,order_id,issue_type,priority,penalty_exposure,capa_breach_risk,audit_readiness_impact,legal_risk,invoice_status,pre_invoice,sla_days_remaining,opened_date,status,cco_assignee,tax_owner_id,tax_owner_name,tax_owner_team,compliance_owner_id,compliance_owner_name,compliance_owner_team,ai_fix_1,ai_confidence_1,ai_source_1,ai_fix_2,ai_confidence_2,ai_source_2,root_cause_primary,root_cause_secondary,capa_ids,next_action_tax,next_action_compliance,correct_jurisdiction,applied_jurisdiction,regulation_state,regulation_statute,regulation_requirement,severity_category
CCO-ISSUE-001,CUST-2011,Northeast Medical,ORD-031,Tax Jurisdiction Mismatch — State Filing Error,CRITICAL,28400.0,1,5,State audit trigger avoidable if jurisdiction corrected before filing,Pre-Invoice,1,2,2026-04-05,Open,Sandra Lee,TAX-03,Jennifer Mills,Tax Team,CCO-02,James Torres,Compliance Team,Correct ORD-031 jurisdiction from Arizona to North Carolina + update address master for CUST-2011,91.0,SAP + State Tax Database,Update CAPA-007 status and verify state filing accuracy across North Carolina and Arizona,87.0,State Compliance Database + CAPA Repository,Sold-to address for CUST-2011 was not updated in SAP after customer relocated from Arizona to North Carolina — system defaulted to bill-to state for jurisdiction assignment — state filing error introduced at order creation,,CAPA-007,Correct sold-to jurisdiction before invoice generation — 2 days remaining,Update CAPA-007 once jurisdiction corrected — 2 days remaining,North Carolina,Arizona,North Carolina,NC Gen. Stat. § 105-164,Sales and Use Tax — State jurisdiction filing required for all sold-to addresses,Critical
CCO-ISSUE-002,CUST-0892,Central Hospital,ORD-028,Multi-Jurisdiction Compliance Breach,CRITICAL,156000.0,1,3,Multi-state filing violation triggers regulatory review — CCO executive approval required,Post-Invoice,0,7,2026-03-25,Open,Jennifer Mills,TAX-05,Robert Chan,Tax Team,CCO-02,James Torres,Compliance Team,Reroute filing to correct jurisdictions + trigger CAPA review for CUST-0892,87.0,State Compliance Database,,0.0,,Billing address spans Virginia and Maryland — jurisdiction assignment selected incorrect primary state — multi-state filing obligation not triggered,,CAPA-007,File corrected multi-jurisdiction return — 7 days remaining,Trigger CAPA review and notify compliance lead — 7 days remaining,Virginia,Maryland,Virginia,Va. Code § 58.1-3700,Sales and Use Tax — Multi-jurisdiction filing required for all sold-to addresses,Critical
CCO-ISSUE-003,CUST-3042,Valley Health,ORD-025,GPO Contract Non-Compliance — Audit Flag,HIGH,12180.0,0,4,GPO audit flag — revenue recovery blocked pending resolution,Post-Invoice,0,5,2026-03-27,Open,James Torres,,,,CCO-02,James Torres,Compliance Team,Reconcile GPO contract terms for CUST-3042 and clear audit flag on ORD-025,85.0,GPO Contract Repository + Audit Register,,0.0,,Contract version mismatch between order management system and GPO repository — prior-period rate applied to current-period order triggering audit flag,,CAPA-011,,Reconcile contract and clear audit flag — 5 days remaining,,,North Carolina,42 U.S.C. § 1320a-7b,GPO compliance — contract rate accuracy required for all qualifying orders,High
CCO-ISSUE-004,CUST-0892,Central Hospital,ORD-033,Tax Jurisdiction Mismatch,HIGH,3300.0,0,2,State audit risk if not corrected before period close,Pre-Invoice,1,3,2026-04-02,Open,Robert Chan,TAX-05,Robert Chan,Tax Team,CCO-02,James Torres,Compliance Team,Correct ORD-033 jurisdiction to Illinois and update SAP address master for CUST-0892,90.0,SAP + State Tax Database,,0.0,,Billing address still reflects prior Missouri bill-to after customer master relocation to Illinois,,CAPA-007,Update jurisdiction before invoicing — 3 days remaining,Confirm correction and update compliance register — 3 days remaining,Illinois,Missouri,Illinois,35 ILCS 120/2,Sales tax — sold-to jurisdiction filing required,Medium
CCO-ISSUE-005,CUST-2011,Northeast Medical,ORD-036,Tax Jurisdiction Mismatch,HIGH,3300.0,0,2,Tax overpayment exposure if jurisdiction not corrected,Post-Invoice,0,8,2026-03-10,Open,Jennifer Mills,TAX-03,Jennifer Mills,Tax Team,CCO-02,James Torres,Compliance Team,Correct overpayment — reduce South Carolina rate to North Carolina for ORD-036,86.0,SAP Address Master + State Tax Database,,0.0,,South Carolina rate applied on Northeast Medical North Carolina sold-to — overpayment pattern on split shipment,,CAPA-011,Correct jurisdiction and issue credit — 8 days remaining,Verify correction in compliance register — 8 days remaining,North Carolina,South Carolina,North Carolina,NC Gen. Stat. § 105-164,Sales and Use Tax — jurisdiction filing required,Medium
CCO-ISSUE-006,CUST-3042,Valley Health,ORD-035,Tax Jurisdiction Mismatch,MEDIUM,3300.0,1,4,Tax overpayment exposure if jurisdiction not corrected,Post-Invoice,0,6,2026-03-18,Open,Emily Carter,TAX-04,Emily Carter,Tax Team,CCO-02,James Torres,Compliance Team,Correct overpayment — reduce New York rate to Ohio for ORD-035,87.0,SAP Address Master + State Tax Database,,0.0,,New York tax rate applied on Valley Health Ohio sold-to order — customer over-taxed,,CAPA-007,Correct jurisdiction and issue credit — 6 days remaining,Confirm correction in compliance register — 6 days remaining,Ohio,New York,Ohio,Ohio Rev. Code § 5739.01,Sales tax — sold-to jurisdiction filing required,Medium
CCO-ISSUE-007,CUST-1087,Riverside Clinic,ORD-034,Tax Jurisdiction Mismatch,MEDIUM,3300.0,1,3,State audit risk if not corrected before invoicing,Pre-Invoice,1,5,2026-04-01,Open,Jennifer Mills,TAX-03,Jennifer Mills,Tax Team,CCO-02,James Torres,Compliance Team,Correct ORD-034 jurisdiction to Washington and update SAP address master for CUST-1087,89.0,SAP + State Tax Database,,0.0,,Stale bill-to jurisdiction on Riverside Clinic order entry — Oregon rate applied on Washington sold-to line,,CAPA-007,Update jurisdiction before invoicing — 5 days remaining,Confirm correction in compliance register — 5 days remaining,Washington,Oregon,Washington,RCW 82.08.020,Sales tax — sold-to jurisdiction filing required,Medium
CCO-ISSUE-008,CUST-6033,Harbor Health System,ORD-038,Territory Integrity Compliance Breach,LOW,5300.0,0,1,Commission misalignment — compliance audit required,Pre-Invoice,1,12,2026-03-18,Open,James Torres,,,,CCO-02,James Torres,Compliance Team,Correct territory assignment for ORD-038 and align compliance record for CUST-6033,84.0,Territory Master + Compliance Register,,0.0,,Sales rep territory assignment does not match order region — commission compliance audit triggered — territory master not updated after realignment,,CAPA-011,,Correct territory assignment — 12 days remaining,,,North Carolina,42 U.S.C. § 1320a-7b,Anti-Kickback Statute — territory and commission accuracy required for all GPO qualifying orders,Low
CCO-ISSUE-009,CUST-7044,Greenfield Medical,ORD-039,GPO Tier Compliance Mismatch,LOW,4700.0,0,1,Overbilling risk — compliance review required post-close,Post-Invoice,0,14,2026-03-15,Open,James Torres,,,,CCO-02,James Torres,Compliance Team,Correct GPO tier assignment for ORD-039 and file compliance adjustment for CUST-7044,83.0,GPO Contract Repository + Compliance Register,,0.0,,New GPO tier effective 2026-01-01 not reflected in pricing master for CUST-7044 — prior tier applied for three orders — compliance adjustment required,,CAPA-011,,Correct tier and file compliance adjustment — 14 days remaining,,,North Carolina,42 U.S.C. § 1320a-7b,GPO compliance — tier accuracy required for all qualifying orders,Low
CCO-ISSUE-010,CUST-8055,Eastside Clinic,ORD-040,Tax Exemption Compliance — Certificate Gap,LOW,4100.0,0,1,Compliance record incomplete — certificate required before audit,Pre-Invoice,1,5,2026-04-02,Open,James Torres,TAX-03,Jennifer Mills,Tax Team,CCO-02,James Torres,Compliance Team,Obtain and apply updated exemption certificate for CUST-8055 before invoicing ORD-040,82.0,Tax Exemption Registry,,0.0,,Certificate renewal for CUST-8055 not filed — exemption record in compliance register shows expired status — SAP still flagged as active,,CAPA-007,Obtain certificate — 5 days remaining,Update compliance register after certificate obtained — 5 days remaining,Arizona,Arizona,Arizona,A.R.S. § 42-5009,Transaction Privilege Tax Exemption — valid certificate required for compliance register,Low
CCO-ISSUE-011,CUST-9066,Northgate Hospital,ORD-041,State Tax Rate Non-Compliance,LOW,3500.0,0,1,Underpayment penalty if amended return not filed,Post-Invoice,0,16,2026-03-12,Open,Robert Chan,TAX-05,Robert Chan,Tax Team,CCO-02,James Torres,Compliance Team,Recalculate ORD-041 tax at correct state rate and file amended return for CUST-9066,81.0,State Tax Database,,0.0,,State rate schedule update 2026-01-01 not applied to tax calculation engine for CUST-9066 zip code region,,CAPA-007,File amended return — 16 days remaining,Confirm amended return in compliance register — 16 days remaining,Ohio,Arizona,Ohio,Ohio Rev. Code § 5739.01,State sales tax rate accuracy — amended return required for underpayment,Low
CCO-ISSUE-012,CUST-1102,Riverside Surgical,ORD-042,GPO Contract Compliance — Chargeback,LOW,3200.0,0,1,Compliance review required — chargeback filed against expired terms,Post-Invoice,0,18,2026-03-10,Open,James Torres,,,,CCO-02,James Torres,Compliance Team,Verify chargeback claim against current contract terms and file resolution for ORD-042,80.0,GPO Contract Repository,,0.0,,Chargeback filed against expired contract terms — current terms not applied during dispute processing — compliance resolution required,,CAPA-011,,Verify and resolve — 18 days remaining,,,North Carolina,42 U.S.C. § 1320a-7b,GPO compliance — contract accuracy required for chargeback resolution,Low
CCO-ISSUE-013,CUST-2213,Valley Orthopedic,ORD-043,Tax Jurisdiction Mismatch — Post-Invoice,LOW,2880.0,0,1,Minor state penalty exposure if correction delayed,Post-Invoice,0,20,2026-03-08,Open,Emily Carter,TAX-04,Emily Carter,Tax Team,CCO-02,James Torres,Compliance Team,Correct ORD-043 jurisdiction assignment and file amended state tax return,80.0,SAP Address Master,,0.0,,Sold-to state mismatch — bill-to address used for jurisdiction assignment during order creation,,CAPA-007,File jurisdiction correction — 20 days remaining,Confirm amended return filed — 20 days remaining,Georgia,Arizona,Georgia,O.C.G.A. § 48-8-2,Georgia Sales and Use Tax — sold-to jurisdiction required for all orders,Low
CCO-ISSUE-014,CUST-3314,Coastal Medical Group,ORD-044,Compliance Documentation — Revenue Recognition,LOW,2550.0,0,1,Compliance record incomplete — restatement risk if not corrected,Post-Invoice,0,22,2026-03-05,Open,Sandra Lee,,,,CCO-01,Sandra Lee,Compliance Office,Correct revenue recognition period for ORD-044 in ERP and update compliance documentation,78.0,ERP Revenue Module + Compliance Register,,0.0,,Order shipped in Q1 but revenue recognized in Q4 due to billing hold — compliance documentation reflects incorrect period,,CAPA-011,,Correct recognition period and update compliance record — 22 days remaining,,,North Carolina,21 C.F.R. Part 820,FDA QMSR — accurate revenue recognition documentation required for distributed devices,Low
