node_id,node_type,node_name,parent_id,parent_type,idn_id,idn_name,hco_id,hco_name,linked_customer_id,linked_doctor_npi,gpo_membership,gpo_tier,credit_limit,hierarchy_status,confidence_score,iqvia_affiliation,iqvia_delta,iqvia_delta_detail
NODE-IDN-001,IDN,Southeast Health System,,,,IDN-001,Southeast Health System,,,,Premier,Tier1,150000.0,ACTIVE,94.0,Southeast Health System,NO,
NODE-IDN-002,IDN,Carolina Medical Group,,,,IDN-002,Carolina Medical Group,,,,Vizient,Tier2,120000.0,ACTIVE,88.0,Carolina Medical Group,NO,
NODE-IDN-003,IDN,MedStar Alliance,,,,IDN-003,MedStar Alliance,,,,HealthTrust,Tier1,200000.0,ACTIVE,91.0,MedStar Alliance,NO,
NODE-HCO-01,HCO,Durham Regional Medical Center,NODE-IDN-001,IDN,IDN-001,Southeast Health System,HCO-01,Durham Regional Medical Center,,,Premier,Tier1,50000.0,ACTIVE,96.0,Durham Regional Medical Center,NO,
NODE-HCO-02,HCO,Coastal Medical Center,NODE-IDN-001,IDN,IDN-001,Southeast Health System,HCO-02,Coastal Medical Center,,,Premier,Tier1,40000.0,ACTIVE,92.0,Coastal Medical Center,NO,
NODE-HCO-03,HCO,Capital Regional Orthopedics,NODE-IDN-001,IDN,IDN-001,Southeast Health System,HCO-03,Capital Regional Orthopedics,,,Premier,Tier1,60000.0,ACTIVE,89.0,Capital Regional Orthopedics,NO,
NODE-HCO-04,HCO,Raleigh General Hospital,NODE-IDN-002,IDN,IDN-002,Carolina Medical Group,HCO-04,Raleigh General Hospital,,,Vizient,Tier2,45000.0,ACTIVE,91.0,Raleigh General Hospital,NO,
NODE-HCO-05,HCO,Piedmont Medical Institute,NODE-IDN-002,IDN,IDN-002,Carolina Medical Group,HCO-05,Piedmont Medical Institute,,,Vizient,Tier2,35000.0,ACTIVE,85.0,Piedmont Medical Institute,NO,
NODE-HCO-06,HCO,Triad Orthopedic Center,NODE-IDN-002,IDN,IDN-002,Carolina Medical Group,HCO-06,Triad Orthopedic Center,,,Vizient,Tier2,55000.0,ACTIVE,90.0,Triad Orthopedic Center,NO,
NODE-HCO-07,HCO,Charlotte Medical Center,NODE-IDN-003,IDN,IDN-003,MedStar Alliance,HCO-07,Charlotte Medical Center,,,HealthTrust,Tier1,75000.0,ACTIVE,93.0,Charlotte Medical Center,NO,
NODE-HCO-08,HCO,Sandhills Regional Hospital,NODE-IDN-003,IDN,IDN-003,MedStar Alliance,HCO-08,Sandhills Regional Hospital,,,HealthTrust,Tier1,50000.0,ACTIVE,88.0,Sandhills Regional Hospital,NO,
NODE-HCO-09,HCO,East Coast Spine Institute,NODE-IDN-003,IDN,IDN-003,MedStar Alliance,HCO-09,East Coast Spine Institute,,,HealthTrust,Tier1,65000.0,ACTIVE,91.0,East Coast Spine Institute,NO,
NODE-CUST-1001,CLINIC,Northside Orthopedics,NODE-HCO-01,HCO,IDN-001,Southeast Health System,HCO-01,Durham Regional Medical Center,CUST-1001,,Premier,Tier1,25000.0,ACTIVE,98.0,Durham Regional Medical Center,NO,
NODE-CUST-1002,CLINIC,Durham Center,NODE-HCO-01,HCO,IDN-001,Southeast Health System,HCO-01,Durham Regional Medical Center,CUST-1002,,Premier,Tier1,20000.0,ACTIVE,97.0,Durham Regional Medical Center,NO,
NODE-CUST-1006,CLINIC,Coastal Partners,NODE-HCO-02,HCO,IDN-001,Southeast Health System,HCO-02,Coastal Medical Center,CUST-1006,,Premier,Tier1,18000.0,ACTIVE,94.0,Coastal Medical Center,NO,
NODE-CUST-1011,CLINIC,Atlantic Distribution,NODE-HCO-02,HCO,IDN-001,Southeast Health System,HCO-02,Coastal Medical Center,CUST-1011,,Premier,Tier1,15000.0,ACTIVE,91.0,Coastal Medical Center,NO,
NODE-CUST-1026,CLINIC,Capital Institute,NODE-HCO-03,HCO,IDN-001,Southeast Health System,HCO-03,Capital Regional Orthopedics,CUST-1026,,Premier,Tier1,30000.0,ACTIVE,82.0,Capital Regional Orthopedics,NO,
NODE-CUST-1003,CLINIC,Raleigh Clinic,NODE-HCO-04,HCO,IDN-002,Carolina Medical Group,HCO-04,Raleigh General Hospital,CUST-1003,,Vizient,Tier2,22000.0,ACTIVE,96.0,Raleigh General Hospital,NO,
NODE-CUST-1004,CLINIC,Triangle System,NODE-HCO-04,HCO,IDN-002,Carolina Medical Group,HCO-04,Raleigh General Hospital,CUST-1004,,Vizient,Tier2,18000.0,ACTIVE,95.0,Raleigh General Hospital,NO,
NODE-CUST-1007,CLINIC,Piedmont Associates,NODE-HCO-05,HCO,IDN-002,Carolina Medical Group,HCO-05,Piedmont Medical Institute,CUST-1007,,Vizient,Tier2,16000.0,ACTIVE,87.0,Piedmont Medical Institute,NO,
NODE-CUST-1012,CLINIC,Carolina Logistics [DUPLICATE],NODE-HCO-05,HCO,IDN-002,Carolina Medical Group,HCO-05,Piedmont Medical Institute,CUST-1012,,Vizient,Tier2,12000.0,CONFLICT,61.0,Piedmont Medical Institute,NO,
NODE-CUST-1027,CLINIC,Triad Specialists,NODE-HCO-06,HCO,IDN-002,Carolina Medical Group,HCO-06,Triad Orthopedic Center,CUST-1027,,Vizient,Tier2,35000.0,ACTIVE,93.0,Triad Orthopedic Center,NO,
NODE-CUST-1005,CLINIC,Southeast Group,NODE-HCO-07,HCO,IDN-003,MedStar Alliance,HCO-07,Charlotte Medical Center,CUST-1005,,HealthTrust,Tier1,28000.0,ACTIVE,92.0,Charlotte Medical Center,NO,
NODE-CUST-1008,CLINIC,Blue Clinic,NODE-HCO-07,HCO,IDN-003,MedStar Alliance,HCO-07,Charlotte Medical Center,CUST-1008,,HealthTrust,Tier1,15000.0,ACTIVE,90.0,Charlotte Medical Center,NO,
NODE-CUST-1010,CLINIC,Sandhills Center,NODE-HCO-08,HCO,IDN-003,MedStar Alliance,HCO-08,Sandhills Regional Hospital,CUST-1010,,HealthTrust,Tier1,20000.0,ACTIVE,89.0,Sandhills Regional Hospital,NO,
NODE-CUST-1015,CLINIC,Bluewater Distribution,NODE-HCO-08,HCO,IDN-003,MedStar Alliance,HCO-08,Sandhills Regional Hospital,CUST-1015,,HealthTrust,Tier1,14000.0,ACTIVE,91.0,Sandhills Regional Hospital,NO,
NODE-CUST-1028,CLINIC,East Center,NODE-HCO-09,HCO,IDN-003,MedStar Alliance,HCO-09,East Coast Spine Institute,CUST-1028,,HealthTrust,Tier1,30000.0,ACTIVE,88.0,East Coast Spine Institute,NO,
NODE-DOC-001,HCP,Dr. James Whitfield (Orthopedics),NODE-HCO-01,HCO,IDN-001,Southeast Health System,HCO-01,Durham Regional Medical Center,,1234567893,Premier,Tier1,,ACTIVE,90.0,Durham Regional Medical Center,YES,IQVIA shows affiliation moved to Raleigh General (IDN-002 Carolina Medical Group). Specialty: Orthopedics unchanged. Affects GPO tier Premier→Vizient and territory REP-01→REP-03.
NODE-DOC-003,HCP,Dr. Robert Patel,NODE-HCO-04,HCO,IDN-002,Carolina Medical Group,HCO-04,Raleigh General Hospital,,3456789015,Vizient,Tier2,,ACTIVE,85.0,Raleigh General Hospital,YES,IQVIA shows specialty updated from Pain Management to Orthopedics. NPI unchanged. Affects prescribing pattern checks for PNS devices.
NODE-CUST-1009,ORPHAN,Cape Institute,,,,,,,,,,,,ORPHAN,0.0,,NO,
NODE-CUST-1013,ORPHAN,(Unknown — CUST-1013),,,,,,,,,,,,ORPHAN,0.0,,NO,
NODE-CUST-1014,ORPHAN,Tarheel Supply (Ghost Rep),,,,,,,,,,,,ORPHAN,0.0,,NO,
NODE-GHOST-01,ORPHAN,CUST-9901 (Unknown Customer),,,,,,,,,,,,ORPHAN,0.0,,NO,
NODE-GHOST-02,ORPHAN,CUST-9902 (Unknown Customer),,,,,,,,,,,,ORPHAN,0.0,,NO,
NODE-PENDING-01,PENDING,Pending Remap Queue — CUST-1023,,,,,,,,,,,,PENDING,55.0,,YES,Awaiting hierarchy stewardship decision for pending spine center onboarding.
