issue_id,customer_id,customer_name,issue_type,priority,dollar_value,hierarchy_level,current_idn,correct_idn,current_idn_name,correct_idn_name,current_jurisdiction,correct_jurisdiction,owner_id,owner_name,sla_days_remaining,opened_date,status,open_orders,contract_id,ai_fix,ai_confidence,ai_source,root_cause,effective_date,last_updated,source_system,capa_id,risk_pricing,risk_tax,risk_credit,risk_gpo,ai_decision
DS-ISS-001,CUST-1887,Riverside Clinic,Hierarchy Mismatch,HIGH,12400.0,Hospital,IDN-003,IDN-007,MedStar Alliance,Memorial Health System,IDN-003,IDN-007,DS-02,Jordan Lee,2,2026-04-10,Open,ORD-214;ORD-218,GPC-007,Update CUST-1887 parent IDN from IDN-003 to IDN-007 in SAP master + trigger re-pricing on open orders,93.0,IQVIA Roster + GPO Roster Delta,IQVIA roster update from March 2026 showed CUST-1887 moved to IDN-007 but the SAP master was not updated — no automated sync is in place and the manual update cycle runs quarterly. The gap has existed for 6 weeks.,2026-03-01,2026-02-15,SAP,CAPA-009,"Contract tier mismatch — wrong price applied to open orders — $8,200 exposure","Wrong tax jurisdiction applied to invoices — $1,105 exposure",Credit limit evaluated against wrong IDN parent — hold risk,GPO fees calculated against incorrect membership tier,
DS-ISS-002,CUST-2201,Memorial Health,Hierarchy Mismatch,CRITICAL,34500.0,Hospital,,,,,IDN-003,,Unassigned,Unassigned,1,2026-04-08,Open,ORD-301;ORD-302,GPC-021,Assign CUST-2201 to IDN-007 Memorial Health System in SAP master — IQVIA roster confirms affiliation,94.0,IQVIA Roster,No IDN assigned at customer creation — CUST-2201 onboarded without hierarchy mapping in SAP. Revenue has been unmapped for 8 weeks.,2026-02-10,2026-02-10,SAP,CAPA-009,"All pricing calculated at list price — no IDN contract rate applied — $18,400 exposure","Tax jurisdiction defaults to billing state — not verified against IDN — $2,800 exposure",Credit limit not anchored to IDN parent — unlimited exposure risk,No GPO membership credit — customer paying outside contracted rates,
DS-ISS-003,CUST-3340,Lake View Surgery,Tax Jurisdiction Gap,HIGH,8100.0,Clinic,IDN-001,IDN-001,Southeast Health System,Southeast Health System,NC,TX,DS-02,Jordan Lee,3,2026-04-09,Open,ORD-215;ORD-219,GPC-012,Correct Ship-To jurisdiction for CUST-3340 from NC to TX in SAP address master + re-calculate tax on ORD-215 and ORD-219,91.0,Address Validation + SAP Audit,Ship-To address for CUST-3340 relocated to Texas Q1 2026 — SAP address master not updated. All invoices since relocation charged North Carolina tax rate.,2026-01-15,2026-01-15,SAP,CAPA-009,Pricing unaffected — IDN mapping is correct,"Tax overcollection of $8,100 across open invoices — refund or credit required",Credit limit correct — IDN parent unchanged,GPO membership unaffected,
DS-ISS-004,CUST-0892,Apex Ortho Group,Orphan Record,MEDIUM,6750.0,Clinic,,,,,,,DS-01,Rachel Torres,4,2026-04-07,Open,,,Assign CUST-0892 to nearest IDN parent based on IQVIA affiliation signals — IDN-002 Carolina Medical Group confirmed,88.0,IQVIA Roster,CUST-0892 created in SAP without parent hierarchy assignment. Record has been orphaned since account creation. Revenue from this account is unmapped to any IDN.,2026-01-01,2026-01-10,SAP,CAPA-009,"No IDN contract applied — all orders priced at list rate — $4,200 revenue exposure",Tax defaults to account billing state — not cross-validated,No credit parent — individual credit limit only,No GPO enrollment possible without IDN parent,
DS-ISS-005,CUST-4412,Northside Clinic,Stale Master Record,MEDIUM,4200.0,Clinic,IDN-002,IDN-002,Carolina Medical Group,Carolina Medical Group,NC,NC,Unassigned,Unassigned,6,2026-04-05,Open,ORD-220,,Refresh CUST-4412 from SAP master — IQVIA match confirmed — last validated 6 months ago,91.0,SAP Audit Log,CUST-4412 record was last validated against IQVIA data in October 2025 — 6 months ago. Potential IDN movement or address change not detected.,2025-10-01,2025-10-01,SAP,CAPA-009,Pricing may reflect outdated contract — refresh required,Tax jurisdiction may be stale — revalidation required,Credit limit may not reflect current IDN standing,GPO tier may have changed — undetected without IQVIA sync,
DS-ISS-006,CUST-1120,Greenfield Medical,Orphan Record,MEDIUM,5200.0,Clinic,,,,,,,Unassigned,Unassigned,7,2026-04-06,Open,,,Assign CUST-1120 to IDN-003 MedStar Alliance based on IQVIA affiliation data,86.0,IQVIA Roster,CUST-1120 was onboarded via a third-party distributor channel — SAP hierarchy mapping was skipped during rapid onboarding.,2026-01-15,2026-01-15,SAP,CAPA-009,List pricing applied — no IDN contract,Tax jurisdiction unvalidated,No credit parent,Not enrolled in GPO,
DS-ISS-007,CUST-2290,Bayside Orthopedics,Orphan Record,LOW,3100.0,Clinic,,,,,,,DS-03,Ethan Park,10,2026-04-03,Open,,,Assign CUST-2290 to IDN-001 Southeast Health System — IQVIA signal confirmed,84.0,IQVIA Roster,CUST-2290 record imported from legacy CRM system during migration — hierarchy fields left blank in migration script.,2026-02-01,2026-02-01,SAP,CAPA-009,Pricing at list rate,Tax not validated,Credit standalone only,GPO unmapped,
DS-ISS-008,CUST-1510,Valley Surgical Partners,Hierarchy Mismatch,HIGH,9800.0,Hospital,IDN-001,IDN-003,Southeast Health System,MedStar Alliance,NC,NC,DS-03,Ethan Park,3,2026-04-09,Open,ORD-230,GPC-015,Update CUST-1510 parent IDN from IDN-001 to IDN-003 in SAP master + re-price ORD-230,90.0,IQVIA + GPO Delta,CUST-1510 was acquired by MedStar Alliance in February 2026 — IQVIA roster signal confirmed affiliation change but SAP master not updated.,2026-02-20,2026-01-15,SAP,CAPA-009,"Wrong GPO contract applied — $9,800 pricing exposure",Tax jurisdiction unaffected — same state,Credit limit anchored to wrong IDN,GPO fees invoiced against IDN-001 — should be IDN-003,
DS-ISS-009,CUST-2011,Metro Spine Center,Tax Jurisdiction Gap,HIGH,7400.0,Hospital,IDN-002,IDN-002,Carolina Medical Group,Carolina Medical Group,NC,AZ,DS-02,Jordan Lee,5,2026-04-08,Open,ORD-222,GPC-009,Correct Ship-To jurisdiction for CUST-2011 from NC to AZ in SAP address master,89.0,Address Validation,CUST-2011 relocated main office to Arizona Q4 2025. Ship-To address not updated in SAP — all invoices using North Carolina jurisdiction.,2025-12-01,2025-11-15,SAP,CAPA-009,Pricing unaffected,"Tax exposure of $7,400 across 3 invoices",Credit OK,GPO unaffected,
DS-ISS-010,CUST-3042,Ridgeline Health,Tax Jurisdiction Gap,MEDIUM,3900.0,Clinic,IDN-001,IDN-001,Southeast Health System,Southeast Health System,NC,FL,Unassigned,Unassigned,9,2026-04-04,Open,ORD-225,,Correct Ship-To jurisdiction for CUST-3042 from NC to FL in SAP address master,87.0,Address Validation,CUST-3042 Ship-To address not updated after Florida branch opened as primary billing location in January 2026.,2026-01-10,2025-12-01,SAP,CAPA-009,Pricing unaffected,"$3,900 tax exposure",Credit OK,GPO unaffected,
DS-ISS-011,CUST-1087,Summit Ortho Clinic,Tax Jurisdiction Gap,MEDIUM,2800.0,Clinic,IDN-003,IDN-003,MedStar Alliance,MedStar Alliance,NC,VA,DS-01,Rachel Torres,8,2026-04-05,Open,ORD-227,,Correct Ship-To jurisdiction for CUST-1087 from NC to VA in SAP address master,88.0,Address Validation,CUST-1087 acquired a Virginia location that became the primary Ship-To address — SAP not updated.,2025-11-20,2025-10-01,SAP,CAPA-009,Pricing unaffected,"$2,800 tax exposure",Credit OK,GPO unaffected,
DS-ISS-012,CUST-1650,Lakeside Orthopedics,Tax Jurisdiction Gap,HIGH,6200.0,Clinic,IDN-002,IDN-002,Carolina Medical Group,Carolina Medical Group,NC,GA,Unassigned,Unassigned,4,2026-04-09,Open,ORD-231,,Correct Ship-To jurisdiction for CUST-1650 from NC to GA in SAP address master,86.0,Address Validation,CUST-1650 moved to a Georgia facility in March 2026. Address master not updated.,2026-03-05,2026-01-01,SAP,CAPA-009,Pricing unaffected,"$6,200 tax exposure",Credit OK,GPO unaffected,
DS-ISS-013,CUST-1780,Coastal Medical Center,Tax Jurisdiction Gap,MEDIUM,4100.0,Hospital,IDN-001,IDN-001,Southeast Health System,Southeast Health System,NC,SC,DS-03,Ethan Park,7,2026-04-06,Open,ORD-233,,Correct Ship-To jurisdiction for CUST-1780 from NC to SC in SAP address master,85.0,Address Validation,CUST-1780 expanded to a South Carolina campus which became the primary Ship-To — SAP not updated.,2026-02-15,2026-01-15,SAP,CAPA-009,Pricing unaffected,"$4,100 tax exposure",Credit OK,GPO unaffected,
DS-ISS-014,CUST-1920,Horizon Spine Group,Tax Jurisdiction Gap,MEDIUM,3600.0,Clinic,IDN-003,IDN-003,MedStar Alliance,MedStar Alliance,NC,TN,Unassigned,Unassigned,11,2026-04-03,Open,ORD-235,,Correct Ship-To jurisdiction for CUST-1920 from NC to TN in SAP address master,84.0,Address Validation,CUST-1920 Tennessee branch opened Q4 2025 and became primary Ship-To — SAP not updated.,2025-11-01,2025-10-15,SAP,CAPA-009,Pricing unaffected,"$3,600 tax exposure",Credit OK,GPO unaffected,
DS-ISS-015,CUST-2100,Clearview Medical,Stale Master Record,MEDIUM,3800.0,Clinic,IDN-001,IDN-001,Southeast Health System,Southeast Health System,NC,NC,Unassigned,Unassigned,8,2026-04-05,Open,ORD-237,,Refresh CUST-2100 from SAP master — IQVIA match confirmed,87.0,SAP Audit Log,CUST-2100 not validated against IQVIA in 95 days. Possible IDN movement or address change undetected.,2025-12-20,2025-12-20,SAP,CAPA-009,Potentially stale contract tier,Potentially stale jurisdiction,Credit may be outdated,GPO tier unverified,
DS-ISS-016,CUST-2350,Pinehurst Ortho,Stale Master Record,LOW,2900.0,Clinic,IDN-002,IDN-002,Carolina Medical Group,Carolina Medical Group,NC,NC,DS-01,Rachel Torres,12,2026-04-02,Open,,,Refresh CUST-2350 from SAP master — IQVIA match confirmed,83.0,SAP Audit Log,CUST-2350 record last validated 110 days ago — exceeds 90-day threshold.,2025-12-01,2025-12-01,SAP,CAPA-009,Potentially stale contract tier,Potentially stale jurisdiction,Credit may be outdated,GPO tier unverified,
DS-ISS-017,CUST-2500,Southgate Medical,Stale Master Record,MEDIUM,4400.0,Hospital,IDN-003,IDN-003,MedStar Alliance,MedStar Alliance,NC,NC,Unassigned,Unassigned,6,2026-04-06,Open,ORD-239,,Refresh CUST-2500 from SAP master — IQVIA match confirmed and possible IDN movement detected,88.0,IQVIA + SAP Audit Log,CUST-2500 not validated in 98 days. IQVIA signal shows potential affiliation change — needs verification.,2025-12-15,2025-12-15,SAP,CAPA-009,Potentially stale contract tier,Potentially stale jurisdiction,Credit may need refresh,GPO tier unverified,
DS-ISS-018,CUST-2650,Westbrook Orthopedics,Stale Master Record,LOW,2100.0,Clinic,IDN-001,IDN-001,Southeast Health System,Southeast Health System,NC,NC,DS-03,Ethan Park,14,2026-04-01,Open,,,Refresh CUST-2650 from SAP master — IQVIA match confirmed,82.0,SAP Audit Log,CUST-2650 last validated 105 days ago — no IQVIA delta signal detected but routine validation required.,2025-12-10,2025-12-10,SAP,CAPA-009,Contract tier likely still valid,Jurisdiction likely still valid,Credit likely current,GPO tier likely valid,
DS-ISS-019,CUST-2800,Apex Medical Group,Duplicate Suspect,HIGH,11200.0,Hospital,IDN-002,IDN-002,Carolina Medical Group,Carolina Medical Group,NC,NC,DS-02,Jordan Lee,3,2026-04-08,Open,ORD-241;ORD-242,GPC-019,Merge CUST-2800 and CUST-2801 — CUST-2801 is the canonical record — consolidate open orders under CUST-2801,92.0,AI Deduplication Scan,Two customer records (CUST-2800 and CUST-2801) created for the same physical entity — likely created by two separate sales reps during onboarding. Name similarity 94% — address match confirmed.,2026-03-15,2026-03-15,SAP,CAPA-009,"Duplicate pricing contracts active — $11,200 total revenue at risk of double-counting",Tax filings could duplicate,Dual credit limits inflating exposure,Dual GPO membership creating compliance flag,
DS-ISS-020,CUST-3100,Northern Surgical Group,Duplicate Suspect,MEDIUM,5500.0,Clinic,IDN-003,IDN-003,MedStar Alliance,MedStar Alliance,NC,NC,DS-01,Rachel Torres,9,2026-04-04,Open,,,Merge CUST-3100 and CUST-3101 — CUST-3101 is the canonical record,85.0,AI Deduplication Scan,CUST-3100 and CUST-3101 detected as duplicates — name similarity 89% — same NPI number in IQVIA. Created during a batch SAP import.,2026-02-20,2026-02-20,SAP,CAPA-009,Duplicate revenue attribution,Potential duplicate tax filings,Dual credit exposure,Dual GPO membership,
