issue_id,account_id,account_name,order_id,issue_type,team,priority,dollar_exposure,margin_at_risk,penalty_exposure,invoice_status,pre_invoice,sla_days_remaining,opened_date,status,current_owner_id,current_owner_name,current_owner_team,secondary_owner_id,secondary_owner_name,secondary_owner_team,sla_health,live_progress_primary,live_progress_secondary,completion_primary,completion_secondary,ai_fix_1,ai_confidence_1,ai_source_1,ai_fix_2,ai_confidence_2,ai_source_2,root_cause_primary,root_cause_secondary,capa_ids,next_action_primary,next_action_secondary,recurrence_count,recurrence_period,capa_exists,vp_action_signal
VP-ISS-001,CUST-2011,Northeast Medical,ORD-031,Tax Jurisdiction Mismatch + Pricing Override,Tax Team,CRITICAL,28400.0,9660.0,16220.0,Pre-Invoice,1,1,2026-04-05,Open,TAX-03,Jennifer Mills,Tax Team,PRICE-04,David Chen,Pricing Team,At Risk,Jurisdiction lookup in progress,Awaiting contract confirmation,50,30,Correct ORD-031 jurisdiction from Arizona to North Carolina + update address master for CUST-2011,91.0,SAP + State Tax Database,Revert ORD-031 from list price $850 to GPO Tier-2 rate $720 for CUST-2011,88.0,GPO Contract Repository,Sold-to address for CUST-2011 not updated in SAP after customer relocated from Arizona to North Carolina — system defaulted to bill-to state,GPO Tier-2 contract rate not refreshed in pricing engine after last contract renewal — system fell back to list price,CAPA-007|CAPA-012,Correct sold-to jurisdiction in SAP before invoice,Revert ORD-031 to GPO Tier-2 rate before invoice,3,this period,Yes,Monitor CAPA-007 — if pattern repeats escalate to CCO
VP-ISS-002,CUST-4019,Alliance Health Group,ORD-029,GPO Chargeback Dispute — Contract Ceiling Exceeded,Finance Team,CRITICAL,142000.0,48280.0,8740.0,Post-Invoice,0,2,2026-03-28,Open,FIN-02,Marcus Webb,Finance Team,,,,On Track,Chargeback verification in progress,,65,,Reroute CUST-4019 chargeback to correct GPO contract tier,88.0,GPO Contract Repository,,0.0,,Chargeback amount exceeds contract ceiling — incorrect GPO tier applied at order creation for CUST-4019,,CAPA-012,Reroute to correct contract tier,,2,this period,Yes,Follow up with Finance Lead — CAPA-012 due 05-20-2026
VP-ISS-003,CUST-0892,Central Hospital,ORD-028,Compliance Breach — Multi-Jurisdiction Filing,Compliance Team,CRITICAL,156000.0,53040.0,6680.0,Post-Invoice,0,0,2026-03-25,Open,CCO-02,James Torres,Compliance Team,TAX-05,Robert Chan,Tax Team,Breached,Filing correction initiated,Jurisdiction records under review,40,25,Correct multi-jurisdiction filing for CUST-0892 and align tax records across all affected states,87.0,State Tax Database + Compliance Register,,0.0,,Billing address spans multiple states — jurisdiction assignment logic selected incorrect primary state — multi-state filing obligation not triggered,Secondary state obligations not captured in compliance register at order entry,CAPA-007,File corrected multi-jurisdiction return — SLA breached 4 hours ago,Support compliance filing correction — urgent,1,this period,Yes,CAPA-007 in progress — escalation to CCO if breach not remediated today
VP-ISS-004,CUST-3042,Valley Health,ORD-025,GPO Contract Non-Compliance — Audit Flag,Finance Team,MEDIUM,12180.0,4141.0,5661.0,Post-Invoice,0,5,2026-03-27,Open,CCO-02,James Torres,Compliance Team,,,,On Track,GPO contract review in progress,,55,,Reconcile GPO contract terms for CUST-3042 and clear audit flag on ORD-025,85.0,GPO Contract Repository + Audit Register,,0.0,,Contract version mismatch between order management system and GPO repository — prior-period rate applied to current-period order triggering audit flag,,CAPA-011,Reconcile contract and clear audit flag,,1,this period,Yes,Monitor — CAPA-011 linked
VP-ISS-005,CUST-0892,Central Hospital,ORD-033,Tax Jurisdiction Mismatch,Tax Team,HIGH,3300.0,1122.0,1535.0,Pre-Invoice,1,3,2026-04-02,Open,TAX-05,Robert Chan,Tax Team,,,,Watch,Jurisdiction verification underway,,45,,Correct ORD-033 jurisdiction to Illinois and update SAP address master for CUST-0892,90.0,SAP + State Tax Database,,0.0,,Billing address still reflects prior Missouri bill-to after customer master relocation to Illinois,,CAPA-007,Update jurisdiction before invoicing,,2,this period,Yes,Monitor progress — CAPA-007 linked
VP-ISS-006,CUST-3042,Valley Health,ORD-035,Tax Jurisdiction Mismatch,Tax Team,MEDIUM,3300.0,1122.0,1535.0,Post-Invoice,0,6,2026-03-18,Open,TAX-04,Emily Carter,Tax Team,,,,On Track,Jurisdiction correction in progress,,55,,Correct overpayment — reduce New York rate to Ohio for ORD-035,87.0,SAP Address Master + State Tax Database,,0.0,,New York tax rate applied on Valley Health Ohio sold-to order — customer over-taxed,,CAPA-007,Correct jurisdiction and issue credit,,1,this period,Yes,Monitor — CAPA-007 linked
VP-ISS-007,CUST-3101,Westfield Health,ORD-027,Pricing Override — List Price Applied,Pricing Team,MEDIUM,6800.0,2312.0,3162.0,Post-Invoice,0,5,2026-03-22,Open,PRICE-04,David Chen,Pricing Team,,,,Watch,Credit memo preparation underway,,35,,Revert ORD-027 pricing to contracted rate and issue credit memo for CUST-3101,86.0,GPO Contract Repository,,0.0,,Sales order pricing engine bypassed contract rate lookup — manual override applied list price instead of GPO Tier-2 rate,,CAPA-012,Revert to contract rate and issue credit memo,,2,this period,Yes,Follow up with Pricing Lead on credit memo status
VP-ISS-008,CUST-2011,Northeast Medical,ORD-036,Tax Jurisdiction Mismatch,Tax Team,MEDIUM,3300.0,1122.0,1535.0,Post-Invoice,0,8,2026-03-10,Open,TAX-03,Jennifer Mills,Tax Team,,,,On Track,Jurisdiction correction in progress,,60,,Correct overpayment — reduce South Carolina rate to North Carolina for ORD-036,86.0,SAP Address Master + State Tax Database,,0.0,,South Carolina rate applied on Northeast Medical North Carolina sold-to — overpayment pattern on split shipment,,CAPA-011,Correct jurisdiction and issue credit,,1,this period,Yes,Monitor progress — CAPA-011 linked
VP-ISS-009,CUST-1087,Riverside Clinic,ORD-034,Tax Jurisdiction Mismatch,Tax Team,MEDIUM,3300.0,1122.0,1535.0,Pre-Invoice,1,5,2026-04-01,Open,TAX-03,Jennifer Mills,Tax Team,,,,On Track,Jurisdiction verification underway,,50,,Correct ORD-034 jurisdiction to Washington and update SAP address master for CUST-1087,89.0,SAP + State Tax Database,,0.0,,Stale bill-to jurisdiction on Riverside Clinic order entry — Oregon rate applied on Washington sold-to line,,CAPA-007,Update jurisdiction before invoicing,,1,this period,Yes,Monitor progress — CAPA-007 linked
VP-ISS-010,CUST-2201,Regional Health Alliance,ORD-50,Tax Jurisdiction Mismatch,Compliance Team,CRITICAL,6570.0,2234.0,3745.0,Post-Invoice,0,0,2026-03-11,Open,CCO-02,James Torres,Compliance Team,,,,Breached,Investigation in progress,,40,,Apply recommended correction for Regional Health Alliance — Tax Jurisdiction Mismatch,86.0,SAP + Contract Repository,,0.0,,Operational data mismatch detected for Regional Health Alliance — tax jurisdiction mismatch,,CAPA-007,Resolve tax jurisdiction mismatch for Regional Health Alliance,,2,this period,Yes,Monitor — standard portfolio review
VP-ISS-011,CUST-2202,NorthStar Medical Group,ORD-51,GPO Chargeback Dispute,Compliance Team,LOW,6707.0,2280.0,3823.0,Post-Invoice,0,2,2026-03-12,Open,CCO-02,James Torres,Compliance Team,,,,On Track,Investigation in progress,,41,,Apply recommended correction for NorthStar Medical Group — GPO Chargeback Dispute,86.0,SAP + Contract Repository,,0.0,,Operational data mismatch detected for NorthStar Medical Group — gpo chargeback dispute,,CAPA-012,Resolve gpo chargeback dispute for NorthStar Medical Group,,3,this period,Yes,Monitor — standard portfolio review
VP-ISS-012,CUST-2203,Coastal Care Network,ORD-52,Compliance Breach — Multi-Jurisdiction Filing,Compliance Team,MEDIUM,6844.0,2327.0,3901.0,Pre-Invoice,1,0,2026-03-13,Open,CCO-02,James Torres,Compliance Team,,,,Breached,Investigation in progress,,42,,Apply recommended correction for Coastal Care Network — Compliance Breach,86.0,SAP + Contract Repository,,0.0,,Operational data mismatch detected for Coastal Care Network — compliance breach — multi-jurisdiction filing,,CAPA-007,Resolve compliance breach — multi-jurisdiction filing for Coastal Care Network,,1,this period,Yes,Monitor — standard portfolio review
VP-ISS-013,CUST-2204,Midwest Surgical Partners,ORD-53,GPO Contract Non-Compliance — Audit Flag,Pricing Team,LOW,6981.0,2374.0,3979.0,Post-Invoice,0,1,2026-03-14,Open,PRICE-04,David Chen,Pricing Team,,,,At Risk,Investigation in progress,,43,,,0.0,,,0.0,,Operational data mismatch detected for Midwest Surgical Partners — gpo contract non-compliance — audit flag,,CAPA-012,Resolve gpo contract non-compliance — audit flag for Midwest Surgical Partners,,2,this period,Yes,Monitor — standard portfolio review
VP-ISS-014,CUST-2205,Sunrise Health System,ORD-54,Pricing Override — List Price Applied,Tax Team,MEDIUM,7118.0,2420.0,4057.0,Post-Invoice,0,0,2026-03-15,Open,TAX-03,Jennifer Mills,Tax Team,,,,Breached,Investigation in progress,,44,,,0.0,,,0.0,,Operational data mismatch detected for Sunrise Health System — pricing override — list price applied,,CAPA-007,Resolve pricing override — list price applied for Sunrise Health System,,3,this period,Yes,Monitor — standard portfolio review
VP-ISS-015,CUST-2206,Heritage Medical Center,ORD-55,GPO Contract Discrepancy,Finance Team,LOW,7255.0,2467.0,4135.0,Pre-Invoice,1,2,2026-03-16,Open,FIN-02,Marcus Webb,Finance Team,,,,On Track,Investigation in progress,,45,,,0.0,,,0.0,,Operational data mismatch detected for Heritage Medical Center — gpo contract discrepancy,,CAPA-012,Resolve gpo contract discrepancy for Heritage Medical Center,,1,this period,Yes,Monitor — standard portfolio review
VP-ISS-016,CUST-2207,Pioneer Orthopedics,ORD-56,Tax Exemption Certificate Expired,Compliance Team,MEDIUM,7392.0,2513.0,4213.0,Post-Invoice,0,9,2026-03-17,Open,CCO-02,James Torres,Compliance Team,,,,Watch,Investigation in progress,,46,,,0.0,,,0.0,,Operational data mismatch detected for Pioneer Orthopedics — tax exemption certificate expired,,CAPA-007,Resolve tax exemption certificate expired for Pioneer Orthopedics,,2,this period,Yes,Monitor — standard portfolio review
VP-ISS-017,CUST-2208,Riverbend Hospital,ORD-57,Chargeback Dispute — Rebate Discrepancy,Tax Team,LOW,7529.0,2560.0,4292.0,Post-Invoice,0,10,2026-03-18,Open,TAX-03,Jennifer Mills,Tax Team,,,,On Track,Investigation in progress,,47,,,0.0,,,0.0,,Operational data mismatch detected for Riverbend Hospital — chargeback dispute — rebate discrepancy,,CAPA-012,Resolve chargeback dispute — rebate discrepancy for Riverbend Hospital,,3,this period,Yes,Monitor — standard portfolio review
VP-ISS-018,CUST-2209,Crescent Valley Health,ORD-58,Contract Ceiling Exceeded,Pricing Team,MEDIUM,7666.0,2606.0,4370.0,Pre-Invoice,1,11,2026-03-19,Open,PRICE-04,David Chen,Pricing Team,,,,On Track,Investigation in progress,,48,,,0.0,,,0.0,,Operational data mismatch detected for Crescent Valley Health — contract ceiling exceeded,,CAPA-007,Resolve contract ceiling exceeded for Crescent Valley Health,,1,this period,Yes,Monitor — standard portfolio review
VP-ISS-019,CUST-2210,Blue Ridge Medical,ORD-59,Rebate Calculation Error,Finance Team,LOW,7803.0,2653.0,4448.0,Post-Invoice,0,12,2026-03-20,Open,FIN-02,Marcus Webb,Finance Team,,,,Watch,Investigation in progress,,49,,,0.0,,,0.0,,Operational data mismatch detected for Blue Ridge Medical — rebate calculation error,,CAPA-012,Resolve rebate calculation error for Blue Ridge Medical,,2,this period,Yes,Monitor — standard portfolio review
VP-ISS-020,CUST-2211,Gateway Health Partners,ORD-60,Address Master Sync Failure,Compliance Team,MEDIUM,7940.0,2700.0,4526.0,Post-Invoice,0,3,2026-03-21,Open,CCO-02,James Torres,Compliance Team,,,,On Track,Investigation in progress,,50,,,0.0,,,0.0,,Operational data mismatch detected for Gateway Health Partners — address master sync failure,,CAPA-007,Resolve address master sync failure for Gateway Health Partners,,3,this period,Yes,Monitor — standard portfolio review
VP-ISS-021,CUST-2212,Summit Care Associates,ORD-61,Pricing Engine Stale Contract,Tax Team,LOW,8077.0,2746.0,4604.0,Pre-Invoice,1,4,2026-03-22,Open,TAX-03,Jennifer Mills,Tax Team,,,,On Track,Investigation in progress,,51,,,0.0,,,0.0,,Operational data mismatch detected for Summit Care Associates — pricing engine stale contract,,CAPA-012,Resolve pricing engine stale contract for Summit Care Associates,,1,this period,Yes,Monitor — standard portfolio review
VP-ISS-022,CUST-2213,Horizon Medical Group,ORD-62,Tax Jurisdiction Mismatch,Finance Team,MEDIUM,8214.0,2793.0,4682.0,Post-Invoice,0,5,2026-03-23,Open,FIN-02,Marcus Webb,Finance Team,,,,Watch,Investigation in progress,,52,,,0.0,,,0.0,,Operational data mismatch detected for Horizon Medical Group — tax jurisdiction mismatch,,CAPA-007,Resolve tax jurisdiction mismatch for Horizon Medical Group,,2,this period,Yes,Monitor — standard portfolio review
VP-ISS-023,CUST-2214,Evergreen Health,ORD-63,GPO Chargeback Dispute,Compliance Team,LOW,8351.0,2839.0,4760.0,Post-Invoice,0,6,2026-03-24,Open,CCO-02,James Torres,Compliance Team,,,,On Track,Investigation in progress,,53,,,0.0,,,0.0,,Operational data mismatch detected for Evergreen Health — gpo chargeback dispute,,CAPA-012,Resolve gpo chargeback dispute for Evergreen Health,,3,this period,Yes,Monitor — standard portfolio review
VP-ISS-024,CUST-2215,Liberty Hospital Network,ORD-64,Compliance Breach — Multi-Jurisdiction Filing,Pricing Team,MEDIUM,8488.0,2886.0,4838.0,Pre-Invoice,1,7,2026-03-25,Open,PRICE-04,David Chen,Pricing Team,,,,On Track,Investigation in progress,,54,,,0.0,,,0.0,,Operational data mismatch detected for Liberty Hospital Network — compliance breach — multi-jurisdiction filing,,CAPA-007,Resolve compliance breach — multi-jurisdiction filing for Liberty Hospital Network,,1,this period,Yes,Monitor — standard portfolio review
VP-ISS-025,CUST-2216,Meridian Surgical,ORD-65,GPO Contract Non-Compliance — Audit Flag,Tax Team,LOW,8625.0,2932.0,4916.0,Post-Invoice,0,8,2026-03-26,Open,TAX-03,Jennifer Mills,Tax Team,,,,Watch,Investigation in progress,,55,,,0.0,,,0.0,,Operational data mismatch detected for Meridian Surgical — gpo contract non-compliance — audit flag,,CAPA-012,Resolve gpo contract non-compliance — audit flag for Meridian Surgical,,2,this period,Yes,Monitor — standard portfolio review
VP-ISS-026,CUST-2217,Oakwood Medical,ORD-66,Pricing Override — List Price Applied,Compliance Team,MEDIUM,8762.0,2979.0,4994.0,Post-Invoice,0,9,2026-03-27,Open,CCO-02,James Torres,Compliance Team,,,,On Track,Investigation in progress,,56,,,0.0,,,0.0,,Operational data mismatch detected for Oakwood Medical — pricing override — list price applied,,CAPA-007,Resolve pricing override — list price applied for Oakwood Medical,,3,this period,Yes,Monitor — standard portfolio review
VP-ISS-027,CUST-2218,Prairie Health Cooperative,ORD-67,GPO Contract Discrepancy,Finance Team,LOW,8899.0,3026.0,5072.0,Pre-Invoice,1,10,2026-03-28,Open,FIN-02,Marcus Webb,Finance Team,,,,On Track,Investigation in progress,,57,,,0.0,,,0.0,,Operational data mismatch detected for Prairie Health Cooperative — gpo contract discrepancy,,CAPA-012,Resolve gpo contract discrepancy for Prairie Health Cooperative,,1,this period,Yes,Monitor — standard portfolio review
VP-ISS-028,CUST-2219,Seaside Regional,ORD-68,Tax Exemption Certificate Expired,Pricing Team,MEDIUM,9036.0,3072.0,5151.0,Post-Invoice,0,11,2026-03-01,Open,PRICE-04,David Chen,Pricing Team,,,,Watch,Investigation in progress,,58,,,0.0,,,0.0,,Operational data mismatch detected for Seaside Regional — tax exemption certificate expired,,CAPA-007,Resolve tax exemption certificate expired for Seaside Regional,,2,this period,Yes,Monitor — standard portfolio review
VP-ISS-029,CUST-2220,Trinity Care Group,ORD-69,Chargeback Dispute — Rebate Discrepancy,Compliance Team,LOW,9173.0,3119.0,5229.0,Post-Invoice,0,12,2026-03-02,Open,CCO-02,James Torres,Compliance Team,,,,On Track,Investigation in progress,,59,,,0.0,,,0.0,,Operational data mismatch detected for Trinity Care Group — chargeback dispute — rebate discrepancy,,CAPA-012,Resolve chargeback dispute — rebate discrepancy for Trinity Care Group,,3,this period,Yes,Monitor — standard portfolio review
VP-ISS-030,CUST-2221,Unity Health Partners,ORD-70,Contract Ceiling Exceeded,Tax Team,MEDIUM,9310.0,3165.0,5307.0,Pre-Invoice,1,3,2026-03-03,Open,TAX-03,Jennifer Mills,Tax Team,,,,On Track,Investigation in progress,,60,,,0.0,,,0.0,,Operational data mismatch detected for Unity Health Partners — contract ceiling exceeded,,CAPA-007,Resolve contract ceiling exceeded for Unity Health Partners,,1,this period,Yes,Monitor — standard portfolio review
VP-ISS-031,CUST-2222,Vanguard Medical,ORD-71,Rebate Calculation Error,Finance Team,LOW,9447.0,3212.0,5385.0,Post-Invoice,0,4,2026-03-04,Open,FIN-02,Marcus Webb,Finance Team,,,,Watch,Investigation in progress,,61,,,0.0,,,0.0,,Operational data mismatch detected for Vanguard Medical — rebate calculation error,,CAPA-012,Resolve rebate calculation error for Vanguard Medical,,2,this period,Yes,Monitor — standard portfolio review
VP-ISS-032,CUST-2223,Westbridge Health,ORD-72,Address Master Sync Failure,Compliance Team,MEDIUM,9584.0,3259.0,5463.0,Post-Invoice,0,5,2026-03-05,Open,CCO-02,James Torres,Compliance Team,,,,On Track,Investigation in progress,,62,,,0.0,,,0.0,,Operational data mismatch detected for Westbridge Health — address master sync failure,,CAPA-007,Resolve address master sync failure for Westbridge Health,,3,this period,Yes,Monitor — standard portfolio review
VP-ISS-033,CUST-2224,Alpine Care System,ORD-73,Pricing Engine Stale Contract,Tax Team,LOW,9721.0,3305.0,5541.0,Pre-Invoice,1,6,2026-03-06,Open,TAX-03,Jennifer Mills,Tax Team,,,,On Track,Investigation in progress,,63,,,0.0,,,0.0,,Operational data mismatch detected for Alpine Care System — pricing engine stale contract,,CAPA-012,Resolve pricing engine stale contract for Alpine Care System,,1,this period,Yes,Monitor — standard portfolio review
VP-ISS-034,CUST-2225,Beacon Medical Group,ORD-74,Tax Jurisdiction Mismatch,Pricing Team,MEDIUM,9858.0,3352.0,5619.0,Post-Invoice,0,7,2026-03-07,Open,PRICE-04,David Chen,Pricing Team,,,,Watch,Investigation in progress,,64,,,0.0,,,0.0,,Operational data mismatch detected for Beacon Medical Group — tax jurisdiction mismatch,,CAPA-007,Resolve tax jurisdiction mismatch for Beacon Medical Group,,2,this period,Yes,Monitor — standard portfolio review
VP-ISS-035,CUST-2226,Canyon Health Network,ORD-75,GPO Chargeback Dispute,Finance Team,LOW,9995.0,3398.0,5697.0,Post-Invoice,0,8,2026-03-08,Open,FIN-02,Marcus Webb,Finance Team,,,,On Track,Investigation in progress,,65,,,0.0,,,0.0,,Operational data mismatch detected for Canyon Health Network — gpo chargeback dispute,,CAPA-012,Resolve gpo chargeback dispute for Canyon Health Network,,3,this period,Yes,Monitor — standard portfolio review
VP-ISS-036,CUST-2227,Delta Regional Medical,ORD-76,Compliance Breach — Multi-Jurisdiction Filing,Compliance Team,MEDIUM,10132.0,3445.0,5775.0,Pre-Invoice,1,9,2026-03-09,Open,CCO-02,James Torres,Compliance Team,,,,On Track,Investigation in progress,,66,,,0.0,,,0.0,,Operational data mismatch detected for Delta Regional Medical — compliance breach — multi-jurisdiction filing,,CAPA-007,Resolve compliance breach — multi-jurisdiction filing for Delta Regional Medical,,1,this period,Yes,Monitor — standard portfolio review
VP-ISS-037,CUST-2228,Eagle Point Health,ORD-77,GPO Contract Non-Compliance — Audit Flag,Tax Team,LOW,10269.0,3491.0,5853.0,Post-Invoice,0,10,2026-03-10,Open,TAX-03,Jennifer Mills,Tax Team,,,,Watch,Investigation in progress,,67,,,0.0,,,0.0,,Operational data mismatch detected for Eagle Point Health — gpo contract non-compliance — audit flag,,CAPA-012,Resolve gpo contract non-compliance — audit flag for Eagle Point Health,,2,this period,Yes,Monitor — standard portfolio review
VP-ISS-038,CUST-2229,Frontier Surgical Center,ORD-78,Pricing Override — List Price Applied,Finance Team,MEDIUM,10406.0,3538.0,5931.0,Post-Invoice,0,11,2026-03-11,Open,FIN-02,Marcus Webb,Finance Team,,,,On Track,Investigation in progress,,68,,,0.0,,,0.0,,Operational data mismatch detected for Frontier Surgical Center — pricing override — list price applied,,CAPA-007,Resolve pricing override — list price applied for Frontier Surgical Center,,3,this period,Yes,Monitor — standard portfolio review
VP-ISS-039,CUST-2230,Granite State Medical,ORD-79,GPO Contract Discrepancy,Pricing Team,LOW,10543.0,3585.0,6010.0,Pre-Invoice,1,12,2026-03-12,Open,PRICE-04,David Chen,Pricing Team,,,,On Track,Investigation in progress,,69,,,0.0,,,0.0,,Operational data mismatch detected for Granite State Medical — gpo contract discrepancy,,CAPA-012,Resolve gpo contract discrepancy for Granite State Medical,,1,this period,Yes,Monitor — standard portfolio review
VP-ISS-040,CUST-2231,Harborview Health,ORD-80,Tax Exemption Certificate Expired,Compliance Team,MEDIUM,10680.0,3631.0,6088.0,Post-Invoice,0,3,2026-03-13,Open,CCO-02,James Torres,Compliance Team,,,,Watch,Investigation in progress,,70,,,0.0,,,0.0,,Operational data mismatch detected for Harborview Health — tax exemption certificate expired,,CAPA-007,Resolve tax exemption certificate expired for Harborview Health,,2,this period,Yes,Monitor — standard portfolio review
VP-ISS-041,CUST-2232,Ironwood Medical Partners,ORD-81,Chargeback Dispute — Rebate Discrepancy,Tax Team,LOW,10817.0,3678.0,6166.0,Post-Invoice,0,4,2026-03-14,Open,TAX-03,Jennifer Mills,Tax Team,,,,On Track,Investigation in progress,,71,,,0.0,,,0.0,,Operational data mismatch detected for Ironwood Medical Partners — chargeback dispute — rebate discrepancy,,CAPA-012,Resolve chargeback dispute — rebate discrepancy for Ironwood Medical Partners,,3,this period,Yes,Monitor — standard portfolio review
VP-ISS-042,CUST-2233,Juniper Health System,ORD-82,Contract Ceiling Exceeded,Finance Team,MEDIUM,10954.0,3724.0,6244.0,Pre-Invoice,1,5,2026-03-15,Open,FIN-02,Marcus Webb,Finance Team,,,,On Track,Investigation in progress,,72,,,0.0,,,0.0,,Operational data mismatch detected for Juniper Health System — contract ceiling exceeded,,CAPA-007,Resolve contract ceiling exceeded for Juniper Health System,,1,this period,Yes,Monitor — standard portfolio review
VP-ISS-043,CUST-2234,Keystone Care Network,ORD-83,Rebate Calculation Error,Compliance Team,LOW,11091.0,3771.0,6322.0,Post-Invoice,0,6,2026-03-16,Open,CCO-02,James Torres,Compliance Team,,,,Watch,Investigation in progress,,73,,,0.0,,,0.0,,Operational data mismatch detected for Keystone Care Network — rebate calculation error,,CAPA-012,Resolve rebate calculation error for Keystone Care Network,,2,this period,Yes,Monitor — standard portfolio review
VP-ISS-044,CUST-2235,Lakeshore Medical Group,ORD-84,Address Master Sync Failure,Pricing Team,MEDIUM,11228.0,3818.0,6400.0,Post-Invoice,0,7,2026-03-17,Open,PRICE-04,David Chen,Pricing Team,,,,On Track,Investigation in progress,,74,,,0.0,,,0.0,,Operational data mismatch detected for Lakeshore Medical Group — address master sync failure,,CAPA-007,Resolve address master sync failure for Lakeshore Medical Group,,3,this period,Yes,Monitor — standard portfolio review
VP-ISS-045,CUST-2236,Mosaic Health Partners,ORD-85,Pricing Engine Stale Contract,Tax Team,LOW,11365.0,3864.0,6478.0,Pre-Invoice,1,8,2026-03-18,Open,TAX-03,Jennifer Mills,Tax Team,,,,On Track,Investigation in progress,,75,,,0.0,,,0.0,,Operational data mismatch detected for Mosaic Health Partners — pricing engine stale contract,,CAPA-012,Resolve pricing engine stale contract for Mosaic Health Partners,,1,this period,Yes,Monitor — standard portfolio review
VP-ISS-046,CUST-2237,NovaCare Regional,ORD-86,Tax Jurisdiction Mismatch,Finance Team,MEDIUM,11502.0,3911.0,6556.0,Post-Invoice,0,9,2026-03-19,Open,FIN-02,Marcus Webb,Finance Team,,,,Watch,Investigation in progress,,76,,,0.0,,,0.0,,Operational data mismatch detected for NovaCare Regional — tax jurisdiction mismatch,,CAPA-007,Resolve tax jurisdiction mismatch for NovaCare Regional,,2,this period,Yes,Monitor — standard portfolio review
VP-ISS-047,CUST-2238,Orchard Medical Center,ORD-87,GPO Chargeback Dispute,Compliance Team,LOW,11639.0,3957.0,6634.0,Post-Invoice,0,10,2026-03-20,Open,CCO-02,James Torres,Compliance Team,,,,On Track,Investigation in progress,,77,,,0.0,,,0.0,,Operational data mismatch detected for Orchard Medical Center — gpo chargeback dispute,,CAPA-012,Resolve gpo chargeback dispute for Orchard Medical Center,,3,this period,Yes,Monitor — standard portfolio review
